Wavelength; Âµm,n
0.1926414625,1.971103941
0.1942267134,1.98048764
0.1952835473,1.991435289
0.1967933101,1.99757524
0.1975481915,2.006727242
0.1990579543,2.012585848
0.1994697077,2.022271956
0.2001902763,2.041481683
0.2001902763,2.033835706
0.2013225984,2.046446603
0.2017755273,2.054896897
0.2028323612,2.065114702
0.204342124,2.071254653
0.2050970054,2.080406656
0.2066067681,2.087258245
0.2070185216,2.094940331
0.2077390902,2.106124941
0.2088714123,2.112877233
0.2093243411,2.120374262
0.2103811751,2.138794115
0.2103811751,2.131148138
0.2118909379,2.145976699
0.2126458193,2.164512401
0.2126458193,2.156866424
0.2147594871,2.171694985
0.2152879041,2.186060154
0.2190623111,2.209606287
0.2201946331,2.220119505
0.2201946331,2.19996193
0.2218931163,2.22759171
0.2243807936,2.241161739
0.2262336842,2.251597098
0.2292532098,2.261013896
0.2352922609,2.269249645
0.2428410748,2.267153847
0.2488801259,2.257852897
0.2529448718,2.246158601
0.2568818686,2.236419337
0.2609582281,2.22602776
0.2643895072,2.214969529
0.268507042,2.206912818
0.271938321,2.195538637
0.2760558559,2.186986939
0.2794871349,2.175159897
0.2836046698,2.166134275
0.2877565174,2.155079053
0.2930406871,2.143520719
0.2976570772,2.132671987
0.3027670435,2.12125649
0.3073834335,2.111963687
0.3137999253,2.101209671
0.3186311662,2.092396937
0.3239908241,2.084403416
0.3300298752,2.074845945
0.337578689,2.064419613
0.3451275029,2.053402456
0.3526763168,2.044818109
0.3606025714,2.035920972
0.3681513853,2.02842946
0.3757001992,2.021008158
0.3840038944,2.013614941
0.3923075897,2.006980002
0.400611285,2.000376658
0.4089149803,1.995953366
0.4172186755,1.989476402
0.4255223708,1.984389616
0.4338260661,1.980819387
0.4421297614,1.976522474
0.4504334566,1.971467283
0.4587371519,1.968434168
0.4670408472,1.964832345
0.4753445424,1.96142009
0.4836482377,1.958386976
0.491951933,1.955543431
0.5002556283,1.952573506
0.5085593235,1.949445606
0.5168630188,1.947265555
0.5251667141,1.944643174
0.5334704094,1.942810668
0.5417741046,1.940693806
0.5500777999,1.939082464
0.5583814952,1.936460083
0.5666851905,1.93535426
0.5749888857,1.93279507
0.583292581,1.932099981
0.5915962763,1.929414411
0.5998999715,1.928940486
0.6082036668,1.926318106
0.6165073621,1.924706764
0.6248110574,1.924327624
0.6331147526,1.921894814
0.6414184479,1.92123132
0.6497221432,1.920188686
0.6580258385,1.918135015
0.6663295337,1.917755876
0.674633229,1.915923369
0.6829369243,1.914533191
0.6912406196,1.912890254
0.6995443148,1.9126059
0.7078480101,1.911342102
0.7161517054,1.90941481
0.7244554006,1.90941481
0.7327590959,1.908466962
0.7410627912,1.906697645
0.7493664865,1.905939366
0.7576701817,1.905939366
0.765973877,1.904422809
0.7742775723,1.902716682
0.7825812676,1.902084783
0.7908849628,1.901421289
0.7991886581,1.901231719
0.8074923534,1.899114858
0.8157960487,1.898988478
0.8240997439,1.898988478
0.8324034392,1.89804063
0.8407071345,1.895797388
0.8490108297,1.894470401
0.857314525,1.894470401
0.8656182203,1.894091261
0.8739219156,1.892953843
0.8822256108,1.891816425
0.8905293061,1.891342501
0.8988330014,1.891089742
0.9071366967,1.889667969
0.9154403919,1.888530551
0.9237440872,1.887867057
0.9320477825,1.887867057
0.9403514778,1.886982399
0.948655173,1.885718601
0.9569588683,1.884581183
0.9652625636,1.883127815
0.9735662588,1.883001435
0.9818699541,1.883001435
0.9901736494,1.881674448
0.9965901412,1.880916169